Breed,Origin,fci,akc,NKC,ankc,tkc,nzkc,ukc
English White Terrier,United Kingdom,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Entlebucher Mountain Dog,Switzerland,Group 02 Section 03 #047,Herding Group,,Group 03 - Working Dogs,Working,,Guardian Dog
Épagneul Bleu de Picardie,France,Group 07 Section 01 #106,,,Group 01 - Sporting,,,Gun Dog
Estonian Hound,Estonia,,,,,,,
Estrela Mountain Dog,Portugal,Group 02 Section 02 #173,FSS,,,Pastoral,Utility,Guardian Dog
Eurasier,Germany,Group 05 Section 05 #291,FSS,Group 07 (Non-Sporting),Group 03 - Working Dogs,Utility,Non Sporting,Northern Breed
Field Spaniel,England,Group 08 Section 02 #123,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundogs,Gun Dog
Fila Brasileiro,Brazil,Group 02 Section 02 #225,,,,,Utility,
Finnish Hound,Finland,Group 06 Section 01 #051,,,,,,Scenthound
Finnish Lapphund,Finland,Group 05 Section 03 #189,FSS (Miscellaneous),Group 05 (Working Dogs),Group 07,Pastoral,Working,Northern Breed
Finnish Spitz,Finland,Group 05 Section 02 #049,Non-Sporting Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Northern Breed
Flat-Coated Retriever,United Kingdom,Group 08 Section 01 #121,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundogs,Gun Dog
Formosan Mountain Dog,Taiwan,Group 05 Section 07 #348,,,,,,
Fox Terrier (Smooth),England,Group 03 Section 01 #012,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
"Fox Terrier, Wire",England,Group 03 Section 01 #169,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
French Brittany,France,Group 07 Section 01,,,,,,
French Bulldog,"England, France",Group 09 Section 11 #101,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Companion Dog
French Spaniel,France,Group 07 Section 01 #175,,,Group 01 (Sporting),,,Gun Dog
Galgo Español,Spain,Group 10 Section 03 #285,,,,,,Sighthound and Pariah
Gascon Saintongeois,France,Group 06 Section 01 #21,,,,,,Scenthound
Georgian shepherd,Georgia,,,,,,,Guardian Dog
German Longhaired Pointer,Germany,,FSS,FSS,Group 01 (Sporting),,Gundogs,Gun Dog
